team,year,points_total,goals_scored,goals_conceded,group_name,rank,goals_scored_rank,goals_conceded_rank
Chile,1930,6,5,3,Group 1,2,2,1
France,1930,3,4,3,Group 1,3,3,2
Argentina,1930,9,10,4,Group 1,1,1,3
Mexico,1930,0,4,13,Group 1,4,4,4
Yugoslavia,1930,6,6,1,Group 2,1,1,1
Brazil,1930,3,5,2,Group 2,2,2,2
Bolivia,1930,0,0,8,Group 2,3,3,3
Uruguay,1930,6,5,0,Group 3,1,1,1
Peru,1930,0,1,4,Group 3,3,3,2
Romania,1930,3,3,5,Group 3,2,2,3
USA,1930,6,6,0,Group 4,1,1,1
Paraguay,1930,3,1,3,Group 4,2,2,2
Belgium,1930,0,0,4,Group 4,3,3,3
Yugoslavia,1950,6,7,3,Group 1,2,2,1
Brazil,1950,13,22,6,Group 1,1,1,2
Switzerland,1950,4,4,6,Group 1,3,3,3
Mexico,1950,0,2,10,Group 1,4,4,4
England,1950,3,2,2,Group 2,3,4,1
Chile,1950,3,5,6,Group 2,2,2,2
USA,1950,3,4,8,Group 2,4,3,3
Spain,1950,10,10,12,Group 2,1,1,4
Italy,1950,3,4,3,Group 3,2,2,1
Paraguay,1950,1,2,4,Group 3,3,3,2
Sweden,1950,7,11,15,Group 3,1,1,3
Uruguay,1950,10,15,5,Group 4,1,1,1
Bolivia,1950,0,0,8,Group 4,2,2,2
Brazil,1954,4,6,1,Group 1,1,1,1
Yugoslavia,1954,4,2,1,Group 1,2,3,2
France,1954,3,3,3,Group 1,3,2,3
Mexico,1954,0,2,8,Group 1,4,4,4
Hungary,1954,6,17,3,Group 2,2,1,1
Germany FR,1954,6,14,11,Group 2,1,2,2
Turkey,1954,3,10,11,Group 2,3,3,3
Korea Republic,1954,0,0,16,Group 2,4,4,4
Uruguay,1954,6,9,0,Group 3,2,1,1
Austria,1954,6,6,0,Group 3,1,2,2
Czechoslovakia,1954,0,0,7,Group 3,3,3,3
Scotland,1954,0,0,8,Group 3,4,4,4
Switzerland,1954,6,6,4,Group 4,1,1,1
England,1954,4,6,4,Group 4,2,2,2
Italy,1954,3,6,7,Group 4,3,3,3
Belgium,1954,1,5,8,Group 4,4,4,4
Germany FR,1958,5,7,5,Group 1,2,2,1
Czechoslovakia,1958,4,9,6,Group 1,3,1,2
Northern Ireland,1958,7,6,6,Group 1,1,3,3
Argentina,1958,3,5,10,Group 1,4,4,4
Yugoslavia,1958,5,7,6,Group 2,2,3,1
Scotland,1958,1,4,6,Group 2,4,4,2
France,1958,6,11,7,Group 2,1,1,3
Paraguay,1958,4,9,12,Group 2,3,2,4
Sweden,1958,7,5,1,Group 3,1,2,1
Wales,1958,6,4,3,Group 3,2,3,2
Hungary,1958,4,7,5,Group 3,3,1,3
Mexico,1958,1,1,8,Group 3,4,4,4
Brazil,1958,7,5,0,Group 4,1,1,1
Soviet Union,1958,7,5,4,Group 4,2,2,2
England,1958,3,4,5,Group 4,3,3,3
Austria,1958,1,2,7,Group 4,4,4,4
Yugoslavia,1962,6,8,3,Group 1,2,2,1
Soviet Union,1962,7,8,5,Group 1,1,1,2
Uruguay,1962,3,4,6,Group 1,3,4,3
Colombia,1962,1,5,11,Group 1,4,3,4
Germany FR,1962,7,4,1,Group 2,1,2,1
Italy,1962,4,3,2,Group 2,3,3,2
Chile,1962,6,5,3,Group 2,2,1,3
Switzerland,1962,0,2,8,Group 2,4,4,4
Brazil,1962,7,4,1,Group 3,1,1,1
Czechoslovakia,1962,4,2,3,Group 3,2,3,2
Spain,1962,3,2,3,Group 3,4,4,3
Mexico,1962,3,3,4,Group 3,3,2,4
Hungary,1962,7,8,2,Group 4,1,1,1
England,1962,4,4,3,Group 4,3,2,2
Argentina,1962,4,2,3,Group 4,2,3,3
Bulgaria,1962,1,1,7,Group 4,4,4,4
England,1966,7,4,0,Group 1,1,1,1
Uruguay,1966,5,2,1,Group 1,2,2,2
Mexico,1966,2,1,3,Group 1,3,4,3
France,1966,1,2,5,Group 1,4,3,4
Germany FR,1966,7,7,1,Group 2,2,1,1
Argentina,1966,7,4,1,Group 2,1,2,2
Spain,1966,3,4,5,Group 2,3,3,3
Switzerland,1966,0,1,9,Group 2,4,4,4
Portugal,1966,9,9,2,Group 3,1,1,1
Hungary,1966,6,7,5,Group 3,2,2,2
Brazil,1966,3,4,6,Group 3,3,3,3
Bulgaria,1966,0,1,8,Group 3,4,4,4
Soviet Union,1966,9,6,1,Group 4,1,1,1
Italy,1966,3,2,2,Group 4,3,3,2
Korea DPR,1966,4,2,4,Group 4,2,2,3
Chile,1966,1,2,5,Group 4,4,4,4
Mexico,1970,7,5,0,Group 1,1,2,1
Soviet Union,1970,7,6,1,Group 1,2,1,2
Belgium,1970,3,4,5,Group 1,3,3,3
El Salvador,1970,0,0,9,Group 1,4,4,4
Italy,1970,5,1,0,Group 2,1,3,1
Uruguay,1970,4,2,1,Group 2,3,2,2
Sweden,1970,4,2,2,Group 2,2,1,3
Israel,1970,2,1,3,Group 2,4,4,4
England,1970,6,2,1,Group 3,2,3,1
Brazil,1970,9,8,3,Group 3,1,1,2
Romania,1970,3,4,5,Group 3,3,2,3
Czechoslovakia,1970,0,2,7,Group 3,4,4,4
Germany FR,1970,9,10,4,Group 4,1,1,1
Peru,1970,6,7,5,Group 4,2,2,2
Morocco,1970,1,2,6,Group 4,4,4,3
Bulgaria,1970,1,5,9,Group 4,3,3,4
Chile,1974,2,1,2,Group 1,3,3,1
Germany FR,1974,15,11,3,Group 1,1,1,2
German DR,1974,8,5,5,Group 1,2,2,3
Australia,1974,1,0,5,Group 1,4,4,4
Scotland,1974,5,3,1,Group 2,2,3,1
Brazil,1974,11,6,3,Group 2,1,2,2
Yugoslavia,1974,5,12,7,Group 2,3,1,3
Zaire,1974,0,0,14,Group 2,4,4,4
Netherlands,1974,16,14,1,Group 3,1,1,1
Bulgaria,1974,2,2,5,Group 3,3,3,2
Sweden,1974,8,7,6,Group 3,2,2,3
Uruguay,1974,1,1,6,Group 3,4,4,4
Italy,1974,4,5,4,Group 4,3,3,1
Poland,1974,15,15,5,Group 4,1,1,2
Argentina,1974,5,9,12,Group 4,2,2,3
Haiti,1974,0,2,14,Group 4,4,4,4
Argentina,1978,13,12,3,Group 1,1,1,1
Italy,1978,13,8,4,Group 1,2,2,2
France,1978,3,5,5,Group 1,3,3,3
Hungary,1978,0,3,8,Group 1,4,4,4
Tunisia,1978,4,3,2,Group 2,3,3,1
Germany FR,1978,7,10,5,Group 2,2,1,2
Poland,1978,10,6,6,Group 2,1,2,3
Mexico,1978,0,2,12,Group 2,4,4,4
Brazil,1978,12,8,2,Group 3,1,1,1
Spain,1978,4,2,2,Group 3,3,3,2
Sweden,1978,1,1,3,Group 3,4,4,3
Austria,1978,9,7,10,Group 3,2,2,4
IR Iran,1978,1,1,4,Group 4,4,4,1
Iran,1978,0,1,4,Group 4,5,5,2
Scotland,1978,4,5,6,Group 4,3,3,3
Netherlands,1978,11,14,7,Group 4,1,1,4
Peru,1978,7,7,12,Group 4,2,2,5
Poland,1982,9,8,1,Group 1,2,1,1
Cameroon,1982,3,1,1,Group 1,3,4,2
Italy,1982,9,7,5,Group 1,1,2,3
Peru,1982,2,2,6,Group 1,4,3,4
Germany FR,1982,10,8,4,Group 2,1,1,1
Algeria,1982,6,5,5,Group 2,2,2,2
Chile,1982,0,3,8,Group 2,3,3,3
